DATE;latitude;longitude;number;expver;tco3
01/03/1987;-8.32;112.92;0;1;0.005148884
01/03/1987;-8.32;113.17;0;1;0.0051523754
01/03/1987;-8.32;113.42;0;1;0.005153139
01/03/1987;-8.32;113.67;0;1;0.0051481016
01/03/1987;-8.57;111.67;0;1;0.0051726606
01/03/1987;-8.57;111.92;0;1;0.005172083
01/03/1987;-8.57;112.17;0;1;0.0051703434
01/03/1987;-8.57;112.42;0;1;0.005169251
01/03/1987;-8.57;112.67;0;1;0.0051677777
01/03/1987;-8.57;112.92;0;1;0.0051667998
01/03/1987;-8.57;113.17;0;1;0.0051669236
01/03/1987;-8.57;113.42;0;1;0.0051656794
01/03/1987;-8.57;113.67;0;1;0.005162509
01/04/1987;-6.57;111.67;0;1;0.005189038
01/04/1987;-6.57;111.92;0;1;0.0051878355
01/04/1987;-6.57;112.17;0;1;0.0051865242
01/04/1987;-6.57;112.42;0;1;0.0051854327
01/04/1987;-6.57;112.67;0;1;0.005184002
01/04/1987;-6.57;112.92;0;1;0.00518261
01/04/1987;-6.57;113.17;0;1;0.005181103
01/04/1987;-6.57;113.42;0;1;0.0051796054
01/04/1987;-6.57;113.67;0;1;0.005178094
01/04/1987;-6.82;111.67;0;1;0.0051900623
01/04/1987;-6.82;111.92;0;1;0.0051892046
01/04/1987;-6.82;112.17;0;1;0.005188884
01/04/1987;-6.82;112.42;0;1;0.0051880507
01/04/1987;-6.82;112.67;0;1;0.005187154
01/04/1987;-6.82;112.92;0;1;0.005185919
01/04/1987;-6.82;113.17;0;1;0.0051840926
01/04/1987;-6.82;113.42;0;1;0.0051825
01/04/1987;-6.82;113.67;0;1;0.005181293
01/04/1987;-7.07;111.67;0;1;0.005191546
01/04/1987;-7.07;111.92;0;1;0.0051910924
01/04/1987;-7.07;112.17;0;1;0.0051914304
01/04/1987;-7.07;112.42;0;1;0.005191221
01/04/1987;-7.07;112.67;0;1;0.005190296
01/04/1987;-7.07;112.92;0;1;0.005188007
01/04/1987;-7.07;113.17;0;1;0.005186205
01/04/1987;-7.07;113.42;0;1;0.005185685
01/04/1987;-7.07;113.67;0;1;0.005184522
01/04/1987;-7.32;111.67;0;1;0.0051930957
01/04/1987;-7.32;111.92;0;1;0.0051931143
01/04/1987;-7.32;112.17;0;1;0.005193716
01/04/1987;-7.32;112.42;0;1;0.0051928284
01/04/1987;-7.32;112.67;0;1;0.0051942775
01/04/1987;-7.32;112.92;0;1;0.005191246
01/04/1987;-7.32;113.17;0;1;0.0051911445
01/04/1987;-7.32;113.42;0;1;0.0051907487
01/04/1987;-7.32;113.67;0;1;0.005188942
01/04/1987;-7.57;111.67;0;1;0.0051908502
01/04/1987;-7.57;111.92;0;1;0.0051941974
01/04/1987;-7.57;112.17;0;1;0.0051927576
01/04/1987;-7.57;112.42;0;1;0.0051819813
01/04/1987;-7.57;112.67;0;1;0.005186449
01/04/1987;-7.57;112.92;0;1;0.005194679
01/04/1987;-7.57;113.17;0;1;0.0051945075
01/04/1987;-7.57;113.42;0;1;0.0051925285
01/04/1987;-7.57;113.67;0;1;0.005190607
01/04/1987;-7.82;111.67;0;1;0.00518825
01/04/1987;-7.82;111.92;0;1;0.0051929653
01/04/1987;-7.82;112.17;0;1;0.005187249
01/04/1987;-7.82;112.42;0;1;0.005171787
01/04/1987;-7.82;112.67;0;1;0.005169699
01/04/1987;-7.82;112.92;0;1;0.0051814653
01/04/1987;-7.82;113.17;0;1;0.005186092
01/04/1987;-7.82;113.42;0;1;0.0051836083
01/04/1987;-7.82;113.67;0;1;0.005179487
01/04/1987;-8.07;111.67;0;1;0.0051961886
01/04/1987;-8.07;111.92;0;1;0.00519896
01/04/1987;-8.07;112.17;0;1;0.0051930435
01/04/1987;-8.07;112.42;0;1;0.0051822923
01/04/1987;-8.07;112.67;0;1;0.0051726615
01/04/1987;-8.07;112.92;0;1;0.005173453
01/04/1987;-8.07;113.17;0;1;0.0051792692
01/04/1987;-8.07;113.42;0;1;0.005179275
01/04/1987;-8.07;113.67;0;1;0.0051736915
01/04/1987;-8.32;111.67;0;1;0.0052077575
01/04/1987;-8.32;111.92;0;1;0.0052088825
01/04/1987;-8.32;112.17;0;1;0.0052071037
01/04/1987;-8.32;112.42;0;1;0.0052016545
01/04/1987;-8.32;112.67;0;1;0.0051980857
01/04/1987;-8.32;112.92;0;1;0.0051980577
01/04/1987;-8.32;113.17;0;1;0.0052019693
01/04/1987;-8.32;113.42;0;1;0.005202732
01/04/1987;-8.32;113.67;0;1;0.005197962
01/04/1987;-8.57;111.67;0;1;0.005218272
01/04/1987;-8.57;111.92;0;1;0.0052181715
01/04/1987;-8.57;112.17;0;1;0.0052165464
01/04/1987;-8.57;112.42;0;1;0.005215792
01/04/1987;-8.57;112.67;0;1;0.0052145096
01/04/1987;-8.57;112.92;0;1;0.005214166
01/04/1987;-8.57;113.17;0;1;0.005214881
01/04/1987;-8.57;113.42;0;1;0.0052141855
01/04/1987;-8.57;113.67;0;1;0.0052115778
01/05/1987;-6.57;111.67;0;1;0.0051965592
01/05/1987;-6.57;111.92;0;1;0.0051967213
01/05/1987;-6.57;112.17;0;1;0.005196917
01/05/1987;-6.57;112.42;0;1;0.0051971413
01/05/1987;-6.57;112.67;0;1;0.005196779
01/05/1987;-6.57;112.92;0;1;0.0051962733
01/05/1987;-6.57;113.17;0;1;0.005195558
01/05/1987;-6.57;113.42;0;1;0.0051948903
01/05/1987;-6.57;113.67;0;1;0.005194132
01/05/1987;-6.82;111.67;0;1;0.0051959967
01/05/1987;-6.82;111.92;0;1;0.0051964587
01/05/1987;-6.82;112.17;0;1;0.0051976563
01/05/1987;-6.82;112.42;0;1;0.0051980466
01/05/1987;-6.82;112.67;0;1;0.0051979804
01/05/1987;-6.82;112.92;0;1;0.005197623
01/05/1987;-6.82;113.17;0;1;0.005196588
01/05/1987;-6.82;113.42;0;1;0.005195873
01/05/1987;-6.82;113.67;0;1;0.0051953765
01/05/1987;-7.07;111.67;0;1;0.0051959343
01/05/1987;-7.07;111.92;0;1;0.0051966785
01/05/1987;-7.07;112.17;0;1;0.005198485
01/05/1987;-7.07;112.42;0;1;0.005199263
01/05/1987;-7.07;112.67;0;1;0.005199168
01/05/1987;-7.07;112.92;0;1;0.005197808
01/05/1987;-7.07;113.17;0;1;0.0051968405
01/05/1987;-7.07;113.42;0;1;0.0051971553
01/05/1987;-7.07;113.67;0;1;0.0051967455
01/05/1987;-7.32;111.67;0;1;0.0051965117
01/05/1987;-7.32;111.92;0;1;0.0051973984
01/05/1987;-7.32;112.17;0;1;0.00519933
01/05/1987;-7.32;112.42;0;1;0.005199058
01/05/1987;-7.32;112.67;0;1;0.005200942
01/05/1987;-7.32;112.92;0;1;0.0051989015
01/05/1987;-7.32;113.17;0;1;0.0051998924
01/05/1987;-7.32;113.42;0;1;0.005200374
01/05/1987;-7.32;113.67;0;1;0.0051994873
01/05/1987;-7.57;111.67;0;1;0.005192755
01/05/1987;-7.57;111.92;0;1;0.005196603
01/05/1987;-7.57;112.17;0;1;0.0051967455
01/05/1987;-7.57;112.42;0;1;0.005185293
01/05/1987;-7.57;112.67;0;1;0.0051902747
01/05/1987;-7.57;112.92;0;1;0.0052009234
01/05/1987;-7.57;113.17;0;1;0.0052018436
01/05/1987;-7.57;113.42;0;1;0.005200756
01/05/1987;-7.57;113.67;0;1;0.00519975
01/05/1987;-7.82;111.67;0;1;0.005187962
01/05/1987;-7.82;111.92;0;1;0.0051934635
01/05/1987;-7.82;112.17;0;1;0.0051895203
01/05/1987;-7.82;112.42;0;1;0.005172629
01/05/1987;-7.82;112.67;0;1;0.0051709786
01/05/1987;-7.82;112.92;0;1;0.005185577
01/05/1987;-7.82;113.17;0;1;0.005191683
01/05/1987;-7.82;113.42;0;1;0.0051899375
01/05/1987;-7.82;113.67;0;1;0.0051861135
01/05/1987;-8.07;111.67;0;1;0.0051936926
01/05/1987;-8.07;111.92;0;1;0.0051971646
01/05/1987;-8.07;112.17;0;1;0.0051926505
01/05/1987;-8.07;112.42;0;1;0.0051806634
01/05/1987;-8.07;112.67;0;1;0.005171424
01/05/1987;-8.07;112.92;0;1;0.0051729977
01/05/1987;-8.07;113.17;0;1;0.005180211
01/05/1987;-8.07;113.42;0;1;0.0051814793
01/05/1987;-8.07;113.67;0;1;0.005176164
01/05/1987;-8.32;111.67;0;1;0.0052029723
01/05/1987;-8.32;111.92;0;1;0.005204822
01/05/1987;-8.32;112.17;0;1;0.0052040927
01/05/1987;-8.32;112.42;0;1;0.005198295
01/05/1987;-8.32;112.67;0;1;0.0051958086
01/05/1987;-8.32;112.92;0;1;0.0051959567
01/05/1987;-8.32;113.17;0;1;0.005201065
01/05/1987;-8.32;113.42;0;1;0.005203206
01/05/1987;-8.32;113.67;0;1;0.0051986314
01/05/1987;-8.57;111.67;0;1;0.005210502
01/05/1987;-8.57;111.92;0;1;0.0052112555
01/05/1987;-8.57;112.17;0;1;0.005210626
01/05/1987;-8.57;112.42;0;1;0.005210573
01/05/1987;-8.57;112.67;0;1;0.0052105775
01/05/1987;-8.57;112.92;0;1;0.00521106
01/05/1987;-8.57;113.17;0;1;0.005212576
01/05/1987;-8.57;113.42;0;1;0.0052126525
01/05/1987;-8.57;113.67;0;1;0.00521023
01/06/1987;-6.57;111.67;0;1;0.005251931
01/06/1987;-6.57;111.92;0;1;0.0052517233
01/06/1987;-6.57;112.17;0;1;0.0052516423
01/06/1987;-6.57;112.42;0;1;0.005251717
01/06/1987;-6.57;112.67;0;1;0.005251335
01/06/1987;-6.57;112.92;0;1;0.0052508367
01/06/1987;-6.57;113.17;0;1;0.005250343
01/06/1987;-6.57;113.42;0;1;0.0052499473
01/06/1987;-6.57;113.67;0;1;0.005249588
01/06/1987;-6.82;111.67;0;1;0.0052490393
01/06/1987;-6.82;111.92;0;1;0.005249082
01/06/1987;-6.82;112.17;0;1;0.005249967
01/06/1987;-6.82;112.42;0;1;0.0052502025
01/06/1987;-6.82;112.67;0;1;0.005250019
01/06/1987;-6.82;112.92;0;1;0.0052496633
01/06/1987;-6.82;113.17;0;1;0.0052485215
01/06/1987;-6.82;113.42;0;1;0.005248069
01/06/1987;-6.82;113.67;0;1;0.005248164
01/06/1987;-7.07;111.67;0;1;0.0052465117
01/06/1987;-7.07;111.92;0;1;0.0052467333
01/06/1987;-7.07;112.17;0;1;0.00524839
01/06/1987;-7.07;112.42;0;1;0.0052490653
01/06/1987;-7.07;112.67;0;1;0.0052488726
01/06/1987;-7.07;112.92;0;1;0.0052471766
01/06/1987;-7.07;113.17;0;1;0.005246035
01/06/1987;-7.07;113.42;0;1;0.0052464334
01/06/1987;-7.07;113.67;0;1;0.005246564
01/06/1987;-7.32;111.67;0;1;0.0052445596
01/06/1987;-7.32;111.92;0;1;0.0052449265
01/06/1987;-7.32;112.17;0;1;0.005246713
01/06/1987;-7.32;112.42;0;1;0.005246274
01/06/1987;-7.32;112.67;0;1;0.00524804
01/06/1987;-7.32;112.92;0;1;0.0052455515
01/06/1987;-7.32;113.17;0;1;0.0052462798
01/06/1987;-7.32;113.42;0;1;0.005246831
01/06/1987;-7.32;113.67;0;1;0.0052459827
01/06/1987;-7.57;111.67;0;1;0.005237992
01/06/1987;-7.57;111.92;0;1;0.005241732
01/06/1987;-7.57;112.17;0;1;0.005241434
01/06/1987;-7.57;112.42;0;1;0.005228284
01/06/1987;-7.57;112.67;0;1;0.0052333726
01/06/1987;-7.57;112.92;0;1;0.0052445503
01/06/1987;-7.57;113.17;0;1;0.0052452656
